f1,f2,f3,f4,f5,f6,Stage
1.5172,0.75264,0.096214,0.09336,0.096214,0.0082164,0
1.5694,0.87322,0.11167,0.10726,0.11167,0.009138,0
1.3328,0.67703,0.076207,0.075955,0.076207,0.0053579,0
0.90531,0.45782,0.087615,0.089115,0.087615,0.0090737,0
1.9076,2.114,0.41191,0.55859,0.41191,0.074853,0
1.7696,1.4893,0.19038,0.18568,0.19038,0.016448,0
1.7216,1.6781,0.23316,0.29657,0.23316,0.025486,0
1.3505,0.40313,0.096702,0.069709,0.096702,0.005853,0
0.88295,0.49523,0.10375,0.114,0.10375,0.012445,0
1.9716,2.4283,0.60414,0.92456,0.60414,0.14088,0
2.2752,2.5124,0.38228,0.35859,0.38228,0.03312,0
1.8091,1.8483,0.46548,0.63629,0.46548,0.067665,0
1.4454,0.46889,0.14102,0.09443,0.14102,0.0066513,0
1.1138,0.64431,0.30176,0.35472,0.30176,0.04707,0
2.2285,2.5386,0.77458,1.0358,0.77458,0.1433,0
1.7016,2.0886,0.31594,0.2681,0.31594,0.021634,0
1.6744,2.1069,0.52428,0.71887,0.52428,0.075842,0
2.2372,0.74911,0.36082,0.24126,0.36082,0.014252,0
1.415,2.5535,0.72861,1.0139,0.72861,0.11618,0
2.1585,2.8947,0.78723,0.99176,0.78723,0.12671,0
1.844,2.472,0.43038,0.32259,0.43038,0.024603,0
1.6465,2.2306,0.5292,0.54558,0.5292,0.052291,0
2.1853,0.79259,0.38791,0.28255,0.38791,0.01803,0
1.7447,4.4676,0.75216,0.92143,0.75216,0.093808,0
1.9866,4.1458,0.75356,0.88828,0.75356,0.097893,0
2.0915,3.5857,0.78557,0.93713,0.78557,0.11106,0
1.9569,4.23,0.57437,0.37611,0.57437,0.026359,0
1.4802,3.1675,0.52259,0.46937,0.52259,0.043624,0
1.3182,2.7563,0.47106,0.45461,0.47106,0.046115,0
1.6223,2.0719,0.46836,0.44772,0.46836,0.041409,0
1.6378,5.1703,0.83454,0.9588,0.83454,0.092372,0
1.8301,5.6472,0.91444,0.94273,0.91444,0.082467,0
2.0443,5.86,0.80873,0.70568,0.80873,0.058156,0
1.5431,6.0254,0.57148,0.49448,0.57148,0.035937,0
1.2549,3.6538,0.45843,0.50538,0.45843,0.042752,0
1.7926,4.9967,0.87744,0.91714,0.87744,0.080012,0
1.7286,4.2676,0.70093,0.61984,0.70093,0.044105,0
1.5244,5.5259,0.56219,0.51861,0.56219,0.038793,0
2.8462,0.84608,0.33286,0.1647,0.33286,0.0032416,0
2.6268,0.82409,0.2932,0.14118,0.2932,0.0019518,0
2.5754,0.76156,0.30268,0.15347,0.30268,0.0030337,0
2.7365,1.0574,0.35991,0.17369,0.35991,0.0027037,0
2.9099,0.95601,0.37334,0.17531,0.37334,0.0029681,0
2.4766,0.80814,0.30395,0.14602,0.30395,0.002257,0
3.3509,1.0782,0.43055,0.20877,0.43055,0.0038953,0
1.885,0.60825,0.24152,0.12927,0.24152,0.0036896,0
2.8527,1.144,0.38656,0.18659,0.38656,0.0030428,0
2.8132,0.97857,0.35087,0.18168,0.35087,0.0032158,0
2.7923,0.92823,0.34684,0.16385,0.34684,0.0021132,0
3.09,1.1008,0.44726,0.21811,0.44726,0.0038254,0
1.8559,0.5963,0.24114,0.12904,0.24114,0.0038515,0
2.8649,1.036,0.3875,0.22161,0.3875,0.0064385,0
2.8348,1.0113,0.34022,0.1757,0.34022,0.0028119,0
3.286,1.1196,0.4454,0.22647,0.4454,0.0039998,0
2.8281,0.99761,0.44046,0.19853,0.44046,0.0039514,0
2.6694,0.63067,0.40397,0.1539,0.40397,0.010593,0
2.7598,1.004,0.39551,0.19638,0.39551,0.0039824,0
2.7904,0.98256,0.37473,0.18922,0.37473,0.0030801,0
3.1692,1.1446,0.49994,0.23439,0.49994,0.0045839,0
3.0447,1.014,0.46539,0.21706,0.46539,0.0043247,0
2.6541,0.93035,0.44968,0.28544,0.44968,0.013176,0
2.7498,1.0541,0.45961,0.22538,0.45961,0.0054261,0
2.8813,1.0396,0.45719,0.22482,0.45719,0.0050279,0
2.788,0.9963,0.38272,0.20124,0.38272,0.0032354,0
3.5886,1.3649,0.69904,0.31242,0.69904,0.0063818,0
2.5902,0.89171,0.43445,0.21113,0.43445,0.0051589,0
3.051,1.0725,0.55657,0.24583,0.55657,0.0057973,0
2.7239,1.0243,0.53946,0.24269,0.53946,0.0066667,0
2.7595,1.2007,0.69857,0.3685,0.69857,0.014987,0
3.0032,1.1439,0.66543,0.34265,0.66543,0.013034,0
2.8228,1.0309,0.47818,0.23174,0.47818,0.0050779,0
3.1637,1.4017,0.9753,0.44668,0.9753,0.014138,0
2.9784,1.5282,1.1655,0.53365,1.1655,0.020964,0
2.7534,1.1962,0.70905,0.3719,0.70905,0.015533,0
2.5262,1.211,0.79268,0.37032,0.79268,0.013187,0
2.9613,1.4432,1.1083,0.50105,1.1083,0.019733,0
3.5996,0.30093,0.039095,0.020286,0.039095,0.00057777,0
3.5603,0.31074,0.042959,0.022489,0.042959,0.00063667,0
3.2626,0.26789,0.041969,0.023157,0.041969,0.0014278,0
3.9291,0.39859,0.089286,0.05793,0.089286,0.0017608,0
4.5486,0.669,0.16302,0.11606,0.16302,0.0051016,0
4.8153,0.82121,0.19398,0.13076,0.19398,0.005013,0
3.7375,0.58099,0.22192,0.19089,0.22192,0.022066,0
2.7226,0.34975,0.10925,0.11019,0.10925,0.010247,0
3.9068,0.43228,0.10359,0.070744,0.10359,0.0021919,0
4.7899,0.81598,0.21044,0.15073,0.21044,0.0067542,0
