,f1,f2,f3,f4,f5,f6,Stage
0,0.037483,0.005767,0.0012373,0.0031533,0.0012373,1.3058,1
1,0.027802,0.0053559,0.0012622,0.0035022,0.0012622,1.3085,1
2,0.030149,0.0053976,0.0012183,0.0034074,0.0012183,1.3081,1
3,0.014595,0.0041233,0.0015279,0.0030378,0.0015279,1.3114,1
4,0.010791,0.0054433,0.0020436,0.0050528,0.0020436,1.3126,1
5,0.013039,0.0055952,0.0016047,0.0048867,0.0016047,1.3127,1
6,0.012225,0.0059075,0.0020773,0.0059131,0.0020773,1.3127,1
7,0.010048,0.0039411,0.0008833,0.0026256,0.0008833,1.313,1
8,0.0075042,0.0033385,0.0013244,0.0024553,0.0013244,1.3133,1
9,0.0071859,0.0054752,0.0023882,0.0048747,0.0023882,1.3133,1
10,0.011827,0.0056063,0.001674,0.0045105,0.001674,1.3131,1
11,0.00994,0.0063123,0.0033242,0.0058757,0.0033242,1.313,1
12,0.0055225,0.0042159,0.0011736,0.0023981,0.0011736,1.314,1
13,0.0022025,0.0021079,0.00076576,0.0013411,0.00076576,1.3147,1
14,0.0057439,0.0054945,0.0022464,0.004439,0.0022464,1.3137,1
15,0.010081,0.0059345,0.0018634,0.0043837,0.0018634,1.3132,1
16,0.0097022,0.0072269,0.0037873,0.0061438,0.0037873,1.3129,1
17,0.0042242,0.004499,0.0015012,0.002555,0.0015012,1.3142,1
18,0.0020879,0.0023331,0.0015303,0.0021615,0.0015303,1.3146,1
19,0.0047986,0.0048356,0.0020058,0.003801,0.0020058,1.3139,1
20,0.0078384,0.0057078,0.0018588,0.0039809,0.0018588,1.3135,1
21,0.0059549,0.0058057,0.0022142,0.0038993,0.0022142,1.3137,1
22,0.0034675,0.0038092,0.0014068,0.0023841,0.0014068,1.3144,1
23,0.0024782,0.0030284,0.0018581,0.0025183,0.0018581,1.3145,1
24,0.0027031,0.0033257,0.0019654,0.0027124,0.0019654,1.3144,1
25,0.0031975,0.003875,0.0020766,0.0030272,0.0020766,1.3143,1
26,0.0054564,0.0050357,0.0017101,0.0030673,0.0017101,1.314,1
27,0.0037506,0.0048441,0.0017839,0.0026682,0.0017839,1.3143,1
28,0.0035412,0.0043654,0.0015313,0.0025682,0.0015313,1.3143,1
29,0.0030159,0.0040718,0.0013947,0.0022393,0.0013947,1.3144,1
30,0.0011556,0.0020899,0.0011766,0.0014851,0.0011766,1.3149,1
31,0.0014449,0.0025446,0.001353,0.0016631,0.001353,1.3148,1
32,0.0018105,0.0031045,0.0015586,0.001856,0.0015586,1.3147,1
33,0.0023697,0.0041702,0.001858,0.0021957,0.001858,1.3145,1
34,0.0016941,0.0037873,0.0017386,0.0018572,0.0017386,1.3147,1
35,0.0010866,0.002159,0.0012831,0.0014763,0.0012831,1.3149,1
36,0.0013588,0.0030354,0.0016674,0.0017865,0.0016674,1.3147,1
37,0.0013586,0.0035914,0.0016405,0.0016339,0.0016405,1.3147,1
38,2.4601,0.56811,0.20314,0.13051,0.20314,0.009881,1
39,2.6175,0.69954,0.19907,0.11745,0.19907,0.0079031,1
40,2.4898,0.73533,0.18058,0.16169,0.18058,0.010384,1
41,1.0262,0.44539,0.1933,0.2459,0.1933,0.018016,1
42,1.7347,1.5787,0.29119,0.28767,0.29119,0.018286,1
43,2.0576,1.7964,0.29302,0.20592,0.29302,0.012336,1
44,2.1289,1.8241,0.28736,0.27032,0.28736,0.015498,1
45,1.756,0.66505,0.23706,0.26244,0.23706,0.017607,1
